,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1
0,"Tue, Oct 17, 2017",Boston Celtics,99,Cleveland Cavaliers,102
1,"Tue, Oct 17, 2017",Houston Rockets,122,Golden State Warriors,121
2,"Wed, Oct 18, 2017",Charlotte Hornets,90,Detroit Pistons,102
3,"Wed, Oct 18, 2017",Brooklyn Nets,131,Indiana Pacers,140
4,"Wed, Oct 18, 2017",Miami Heat,109,Orlando Magic,116
5,"Wed, Oct 18, 2017",Philadelphia 76ers,115,Washington Wizards,120
6,"Wed, Oct 18, 2017",Milwaukee Bucks,108,Boston Celtics,100
7,"Wed, Oct 18, 2017",New Orleans Pelicans,91,Memphis Grizzlies,103
8,"Wed, Oct 18, 2017",Atlanta Hawks,117,Dallas Mavericks,111
9,"Wed, Oct 18, 2017",Denver Nuggets,96,Utah Jazz,106
10,"Wed, Oct 18, 2017",Minnesota Timberwolves,99,San Antonio Spurs,107
11,"Wed, Oct 18, 2017",Portland Trail Blazers,124,Phoenix Suns,76
12,"Wed, Oct 18, 2017",Houston Rockets,105,Sacramento Kings,100
13,"Thu, Oct 19, 2017",Chicago Bulls,100,Toronto Raptors,117
14,"Thu, Oct 19, 2017",New York Knicks,84,Oklahoma City Thunder,105
15,"Thu, Oct 19, 2017",Los Angeles Clippers,108,Los Angeles Lakers,92
16,"Fri, Oct 20, 2017",Atlanta Hawks,91,Charlotte Hornets,109
17,"Fri, Oct 20, 2017",Portland Trail Blazers,114,Indiana Pacers,96
18,"Fri, Oct 20, 2017",Cleveland Cavaliers,116,Milwaukee Bucks,97
19,"Fri, Oct 20, 2017",Boston Celtics,102,Philadelphia 76ers,92
20,"Fri, Oct 20, 2017",Detroit Pistons,111,Washington Wizards,115
21,"Fri, Oct 20, 2017",Orlando Magic,121,Brooklyn Nets,126
22,"Fri, Oct 20, 2017",Utah Jazz,97,Minnesota Timberwolves,100
23,"Fri, Oct 20, 2017",Sacramento Kings,93,Dallas Mavericks,88
24,"Fri, Oct 20, 2017",Golden State Warriors,128,New Orleans Pelicans,120
25,"Fri, Oct 20, 2017",Los Angeles Lakers,132,Phoenix Suns,130
26,"Sat, Oct 21, 2017",Philadelphia 76ers,94,Toronto Raptors,128
27,"Sat, Oct 21, 2017",San Antonio Spurs,87,Chicago Bulls,77
28,"Sat, Oct 21, 2017",Orlando Magic,114,Cleveland Cavaliers,93
29,"Sat, Oct 21, 2017",Dallas Mavericks,91,Houston Rockets,107
30,"Sat, Oct 21, 2017",Golden State Warriors,101,Memphis Grizzlies,111
31,"Sat, Oct 21, 2017",Indiana Pacers,108,Miami Heat,112
32,"Sat, Oct 21, 2017",Detroit Pistons,111,New York Knicks,107
33,"Sat, Oct 21, 2017",Portland Trail Blazers,110,Milwaukee Bucks,113
34,"Sat, Oct 21, 2017",Sacramento Kings,79,Denver Nuggets,96
35,"Sat, Oct 21, 2017",Oklahoma City Thunder,87,Utah Jazz,96
36,"Sat, Oct 21, 2017",Phoenix Suns,88,Los Angeles Clippers,130
37,"Sun, Oct 22, 2017",Atlanta Hawks,104,Brooklyn Nets,116
38,"Sun, Oct 22, 2017",Minnesota Timberwolves,115,Oklahoma City Thunder,113
39,"Sun, Oct 22, 2017",New Orleans Pelicans,119,Los Angeles Lakers,112
40,"Mon, Oct 23, 2017",Philadelphia 76ers,97,Detroit Pistons,86
41,"Mon, Oct 23, 2017",Atlanta Hawks,93,Miami Heat,104
42,"Mon, Oct 23, 2017",Memphis Grizzlies,98,Houston Rockets,90
43,"Mon, Oct 23, 2017",Charlotte Hornets,94,Milwaukee Bucks,103
44,"Mon, Oct 23, 2017",Golden State Warriors,133,Dallas Mavericks,103
45,"Mon, Oct 23, 2017",Toronto Raptors,97,San Antonio Spurs,101
46,"Mon, Oct 23, 2017",Washington Wizards,109,Denver Nuggets,104
47,"Mon, Oct 23, 2017",Sacramento Kings,115,Phoenix Suns,117
48,"Tue, Oct 24, 2017",Chicago Bulls,112,Cleveland Cavaliers,119
49,"Tue, Oct 24, 2017",Brooklyn Nets,121,Orlando Magic,125
50,"Tue, Oct 24, 2017",New York Knicks,89,Boston Celtics,110
51,"Tue, Oct 24, 2017",Indiana Pacers,130,Minnesota Timberwolves,107
52,"Tue, Oct 24, 2017",New Orleans Pelicans,93,Portland Trail Blazers,103
53,"Tue, Oct 24, 2017",Utah Jazz,84,Los Angeles Clippers,102
54,"Wed, Oct 25, 2017",Denver Nuggets,93,Charlotte Hornets,110
55,"Wed, Oct 25, 2017",Minnesota Timberwolves,101,Detroit Pistons,122
56,"Wed, Oct 25, 2017",Houston Rockets,105,Philadelphia 76ers,104
57,"Wed, Oct 25, 2017",Cleveland Cavaliers,107,Brooklyn Nets,112
58,"Wed, Oct 25, 2017",San Antonio Spurs,117,Miami Heat,100
59,"Wed, Oct 25, 2017",Indiana Pacers,96,Oklahoma City Thunder,114
60,"Wed, Oct 25, 2017",Memphis Grizzlies,94,Dallas Mavericks,103
61,"Wed, Oct 25, 2017",Utah Jazz,88,Phoenix Suns,97
62,"Wed, Oct 25, 2017",Toronto Raptors,112,Golden State Warriors,117
63,"Wed, Oct 25, 2017",Washington Wizards,99,Los Angeles Lakers,102
64,"Thu, Oct 26, 2017",Atlanta Hawks,86,Chicago Bulls,91
65,"Thu, Oct 26, 2017",Dallas Mavericks,91,Memphis Grizzlies,96
66,"Thu, Oct 26, 2017",Boston Celtics,96,Milwaukee Bucks,89
67,"Thu, Oct 26, 2017",Los Angeles Clippers,104,Portland Trail Blazers,103
68,"Thu, Oct 26, 2017",New Orleans Pelicans,114,Sacramento Kings,106
69,"Fri, Oct 27, 2017",Houston Rockets,109,Charlotte Hornets,93
70,"Fri, Oct 27, 2017",San Antonio Spurs,87,Orlando Magic,114
71,"Fri, Oct 27, 2017",Denver Nuggets,105,Atlanta Hawks,100
72,"Fri, Oct 27, 2017",Brooklyn Nets,86,New York Knicks,107
73,"Fri, Oct 27, 2017",Oklahoma City Thunder,116,Minnesota Timberwolves,119
74,"Fri, Oct 27, 2017",Washington Wizards,117,Golden State Warriors,120
75,"Fri, Oct 27, 2017",Toronto Raptors,101,Los Angeles Lakers,92
76,"Sat, Oct 28, 2017",Cleveland Cavaliers,101,New Orleans Pelicans,123
77,"Sat, Oct 28, 2017",Oklahoma City Thunder,101,Chicago Bulls,69
78,"Sat, Oct 28, 2017",Houston Rockets,89,Memphis Grizzlies,103
79,"Sat, Oct 28, 2017",Boston Celtics,96,Miami Heat,90
80,"Sat, Oct 28, 2017",Philadelphia 76ers,112,Dallas Mavericks,110
81,"Sat, Oct 28, 2017",Los Angeles Lakers,81,Utah Jazz,96
82,"Sat, Oct 28, 2017",Phoenix Suns,107,Portland Trail Blazers,114
83,"Sat, Oct 28, 2017",Detroit Pistons,95,Los Angeles Clippers,87
84,"Sun, Oct 29, 2017",Milwaukee Bucks,117,Atlanta Hawks,106
85,"Sun, Oct 29, 2017",San Antonio Spurs,94,Indiana Pacers,97
86,"Sun, Oct 29, 2017",Denver Nuggets,124,Brooklyn Nets,111
87,"Sun, Oct 29, 2017",Orlando Magic,113,Charlotte Hornets,120
88,"Sun, Oct 29, 2017",Washington Wizards,110,Sacramento Kings,83
89,"Sun, Oct 29, 2017",New York Knicks,114,Cleveland Cavaliers,95
90,"Sun, Oct 29, 2017",Detroit Pistons,115,Golden State Warriors,107
91,"Mon, Oct 30, 2017",San Antonio Spurs,94,Boston Celtics,108
92,"Mon, Oct 30, 2017",Minnesota Timberwolves,125,Miami Heat,122
93,"Mon, Oct 30, 2017",Denver Nuggets,110,New York Knicks,116
94,"Mon, Oct 30, 2017",Philadelphia 76ers,115,Houston Rockets,107
95,"Mon, Oct 30, 2017",Charlotte Hornets,104,Memphis Grizzlies,99
96,"Mon, Oct 30, 2017",Orlando Magic,115,New Orleans Pelicans,99
97,"Mon, Oct 30, 2017",Dallas Mavericks,89,Utah Jazz,104
98,"Mon, Oct 30, 2017",Toronto Raptors,99,Portland Trail Blazers,85
99,"Mon, Oct 30, 2017",Golden State Warriors,141,Los Angeles Clippers,113
100,"Tue, Oct 31, 2017",Sacramento Kings,83,Indiana Pacers,101
101,"Tue, Oct 31, 2017",Phoenix Suns,122,Brooklyn Nets,114
102,"Tue, Oct 31, 2017",Oklahoma City Thunder,110,Milwaukee Bucks,91
103,"Tue, Oct 31, 2017",Detroit Pistons,93,Los Angeles Lakers,113
104,"Wed, Nov 1, 2017",Milwaukee Bucks,121,Charlotte Hornets,126
105,"Wed, Nov 1, 2017",Indiana Pacers,124,Cleveland Cavaliers,107
106,"Wed, Nov 1, 2017",Atlanta Hawks,109,Philadelphia 76ers,119
107,"Wed, Nov 1, 2017",Phoenix Suns,122,Washington Wizards,116
108,"Wed, Nov 1, 2017",Sacramento Kings,86,Boston Celtics,113
109,"Wed, Nov 1, 2017",Chicago Bulls,91,Miami Heat,97
110,"Wed, Nov 1, 2017",Orlando Magic,101,Memphis Grizzlies,99
111,"Wed, Nov 1, 2017",Minnesota Timberwolves,104,New Orleans Pelicans,98
112,"Wed, Nov 1, 2017",Houston Rockets,119,New York Knicks,97
113,"Wed, Nov 1, 2017",Toronto Raptors,111,Denver Nuggets,129
114,"Wed, Nov 1, 2017",Portland Trail Blazers,103,Utah Jazz,112
115,"Wed, Nov 1, 2017",Dallas Mavericks,98,Los Angeles Clippers,119
116,"Thu, Nov 2, 2017",Golden State Warriors,112,San Antonio Spurs,92
117,"Thu, Nov 2, 2017",Los Angeles Lakers,110,Portland Trail Blazers,113
118,"Fri, Nov 3, 2017",Milwaukee Bucks,96,Detroit Pistons,105
119,"Fri, Nov 3, 2017",Chicago Bulls,105,Orlando Magic,83
120,"Fri, Nov 3, 2017",Indiana Pacers,110,Philadelphia 76ers,121
121,"Fri, Nov 3, 2017",Cleveland Cavaliers,130,Washington Wizards,122
122,"Fri, Nov 3, 2017",Houston Rockets,119,Atlanta Hawks,104
123,"Fri, Nov 3, 2017",Phoenix Suns,107,New York Knicks,120
124,"Fri, Nov 3, 2017",New Orleans Pelicans,99,Dallas Mavericks,94
125,"Fri, Nov 3, 2017",Charlotte Hornets,101,San Antonio Spurs,108
126,"Fri, Nov 3, 2017",Miami Heat,94,Denver Nuggets,95
127,"Fri, Nov 3, 2017",Toronto Raptors,109,Utah Jazz,100
128,"Fri, Nov 3, 2017",Boston Celtics,101,Oklahoma City Thunder,94
129,"Fri, Nov 3, 2017",Brooklyn Nets,112,Los Angeles Lakers,124
130,"Sat, Nov 4, 2017",Memphis Grizzlies,113,Los Angeles Clippers,104
131,"Sat, Nov 4, 2017",Sacramento Kings,99,Detroit Pistons,108
